Senate Vote #38 2016-03-17T13:43:00 - S.Res. 377: An original resolution directing the Senate Legal Counsel to bring a civil action to enforce a subpoena of ...
person,state,district,vote,name,party
412554,ND,,Yea,Sen. Heidi Heitkamp [D],Democrat
412556,NE,,Yea,Sen. Deb Fischer [R],Republican
412573,TX,,Not Voting,Sen. Ted Cruz [R],Republican
412582,VA,,Yea,Sen. Timothy Kaine [D],Democrat
412598,NJ,,Yea,Sen. Cory Booker [D],Democrat
412665,AK,,Yea,Sen. Dan Sullivan [R],Republican
412666,GA,,Yea,Sen. David Perdue [R],Republican
412667,IA,,Yea,Sen. Joni Ernst [R],Republican
412668,NC,,Yea,Sen. Thom Tillis [R],Republican
412669,SD,,Yea,Sen. Mike Rounds [R],Republican
412671,NE,,Yea,Sen. Benjamin Sasse [R],Republican
